host;CI-nr_Blade;CI-nr_Cluster;CI-nr_Enclosure
crlnnlgeesx01.dmzcrelan.virtual;CI00040030;CI00047396;
crlnnlgeesx02.dmzcrelan.virtual;CI00040031;CI00047396;
