"Name";"VMHost";"PowerState";"Vmtools"
"CI00009132-SV-ARG-PRRDS-P1";"sharbehaesx046.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00009131-SV-ARG-PPWS-P2";"sharbehaesx051.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00009130-SV-ARG-PPWS-P1";"sharbehaesx049.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00009129-SV-ARG-PPFS-P1";"sharbehaesx041.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00009128-SV-ARG-PEWS-P3";"sharbehaesx047.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00009127-SV-ARG-PEWS-P2";"sharbehaesx042.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI68824-SV-ARG-PRS-P03";"sharbehaesx111.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00009126-SV-ARG-PEWS-P1";"sharbehaesx054.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI88373-SV-ARG-PENTA-P1";"sharbehaesx046.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00009091-SV-ARG-PEAPP-P1";"sharbehaesx038.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00096406-SV-ARG-PAMAW-P1";"sharbehaesx053.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00006999-SV-ARG-NDES-P1";"sharbehaesx102.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00079052-SV-ARG-LIC-P2";"sharbehaesx134.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI90107-SV-ARG-LIC-P1";"sharbehaesx103.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI77633-SV-ARG-LEG-P2";"sharbehaesx102.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI77754-SV-ARG-LEG-P1";"sharbehaesx105.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00009093-SV-ARG-PEWEB-P1";"sharbehaesx034.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI68825-SV-ARG-PRS-P04";"sharbehaesx108.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI68826-SV-ARG-PRS-P05";"sharbehaesx105.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI68827-SV-ARG-PRS-P06";"sharbehaesx104.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00080591-SV-ARG-SNSH-P1";"sharbehaesx040.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00080589-SV-ARG-SNIV-P1";"sharbehaesx044.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00080590-SV-ARG-SNGW-P1";"sharbehaesx036.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI88115-SV-ARG-SASTS-P1";"sharbehaesx103.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI87987-SV-ARG-SAS-P5";"sharbehaesx084.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI87940-SV-ARG-SAS-P2";"sharbehaesx088.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI87939-SV-ARG-SAS-P1";"sharbehaesx018.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00035964-SV-ARG-RSKP7-P1";"sharbehaesx041.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00044515-SV-ARG-REGPR-P2";"sharbehaesx042.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI87210-SV-ARG-REGPR-P1";"sharbehaesx050.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI83680-SV-ARG-RECO-P3";"sharbehaesx109.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI83679-SV-ARG-RECO-P2";"sharbehaesx110.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI83678-SV-ARG-RECO-P1";"sharbehaesx105.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI99671-SV-ARG-RDSN-P5";"sharbehaesx131.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI99670-SV-ARG-RDSN-P3";"sharbehaesx129.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI99657-SV-ARG-RDSN-P1";"sharbehaesx134.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI99667-SV-ARG-RDSCB-P1";"sharbehaesx134.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI68829-SV-ARG-PRS-P08";"sharbehaesx101.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI68828-SV-ARG-PRS-P07";"sharbehaesx108.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI66149-SV-ARG-TENF-P1";"sharbehaesx102.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00034548-ARG-PXS-PRIME-HSLT";"sharbehaesx148.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
