"Name";"VMHost";"PowerState";"Vmtools"
"CI01042069-SVARGSRV";"esxhost";"PoweredOff";"guestToolsNotRunning""VM02";"pocbehaesx002.pocvirtual.local";"PoweredOn";"guestToolsNotRunning"
"VM01";"pocbehaesx001.pocvirtual.local";"PoweredOn";"guestToolsNotRunning"
"VM02";"pocbehaesx002.pocvirtual.local";"PoweredOn";"guestToolsNotRunning"
"VM01";"pocbehaesx001.pocvirtual.local";"PoweredOn";"guestToolsNotRunning"
"VM03";"pocbehaesx002.pocvirtual.local";"PoweredOn";"guestToolsNotRunning"
"VM01";"pocbehaesx001.pocvirtual.local";"PoweredOn";"guestToolsNotRunning"
"VM02";"pocbehaesx002.pocvirtual.local";"PoweredOn";"guestToolsNotRunning"
