"Name";"VMHost";"PowerState";"Vmtools"
"CI00080656-SV-ARG-CGNOS-P2";"sharbehaesx105.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI82323-SV-ARG-CGNOS-P1";"sharbehaesx135.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI71451-SV-ARG-CERT-P2";"sharbehaesx045.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI71450-SV-ARG-CERT-P1";"sharbehaesx045.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00065374-SV-ARG-CBS-P1";"sharbehaesx139.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI79770-SV-ARG-ALN-P1";"sharbehaesx103.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00094404-SV-ARG-CKP-P3";"sharbehaesx079.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00034808-SV-ARG-EVARC-P2";"sharbehaesx050.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00079869-SV-ARG-TABL-P03";"sharbehaesx149.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00079866-SV-ARG-TABL-P01";"sharbehaesx159.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00023077-SV-ARG-CRD-P1";"sharbehaesx020.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00074369-SV-ARG-CLLBR-P1";"sharbehaesx141.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00061430-SV-ARG-AXS3-P1";"sharbehaesx168.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI77243-SV-ARG-ACLTS-P1";"sharbehaesx027.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00072107-FIREPING-ARG";"sharbehaesx124.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00116715-SV-ARG-AX-F1";"sharbehaesx106.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00116732-SV-ARG-SCCM-F1";"sharbehaesx159.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00075275-SV-ARG-CR-P1";"sharbehaesx033.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00117583-SV-ARG-PSKNT-F1";"sharbehaesx150.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00118991-SV-ARG-ADC-F01";"sharbehaesx102.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00115548-SV-ARG-RECO-P4";"sharbehaesx049.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00115549-SV-ARG-RECO-P5";"sharbehaesx046.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00115550-SV-ARG-RECO-P6";"sharbehaesx048.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00115600-SV-ARG-PENTA-P2";"sharbehaesx048.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"CI00115601-SV-ARG-COLD-P3";"sharbehaesx048.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
